drupal-check results on commit hash: 
 source   : [git] https://git.drupal.org/project/netauth d5ff5fb5355737e32d267f445415fdfaf0a3707f
  91     Syntax error, unexpected '[', expecting '(' on line 91              
  92     Syntax error, unexpected '[', expecting '(' on line 92              
  93     Syntax error, unexpected T_DOUBLE_ARROW, expecting ']' on line 93   
  96     Syntax error, unexpected ',' on line 96                             
  106    Syntax error, unexpected '[', expecting '(' on line 106             
  107    Syntax error, unexpected ')' on line 107                            
  107    Syntax error, unexpected '[', expecting '(' on line 107             
  108    Syntax error, unexpected '[', expecting '(' on line 108             
  109    Syntax error, unexpected T_DOUBLE_ARROW, expecting ']' on line 109  
  112    Syntax error, unexpected ',' on line 112                            
  121    Syntax error, unexpected ')' on line 121                            
  121    Syntax error, unexpected '[', expecting '(' on line 121             
  122    Syntax error, unexpected '[', expecting '(' on line 122             
  123    Syntax error, unexpected T_DOUBLE_ARROW, expecting ']' on line 123  
  125    Syntax error, unexpected ',' on line 125                            
  136    Syntax error, unexpected '[', expecting '(' on line 136             
  137    Syntax error, unexpected ')' on line 137                            
  137    Syntax error, unexpected '[', expecting '(' on line 137             
  138    Syntax error, unexpected '[', expecting '(' on line 138             
  139    Syntax error, unexpected T_DOUBLE_ARROW, expecting ']' on line 139  
  142    Syntax error, unexpected ',' on line 142                            
  151    Syntax error, unexpected '[', expecting '(' on line 151             
  152    Syntax error, unexpected ')' on line 152                            
  152    Syntax error, unexpected '[', expecting '(' on line 152             
  153    Syntax error, unexpected '[', expecting '(' on line 153             
  154    Syntax error, unexpected T_DOUBLE_ARROW, expecting ']' on line 154  
  156    Syntax error, unexpected ',' on line 156                            
  168    Syntax error, unexpected ')' on line 168                            
  168    Syntax error, unexpected '[', expecting '(' on line 168             
  169    Syntax error, unexpected '[', expecting '(' on line 169             
  170    Syntax error, unexpected '=', expecting ']' on line 170             
  173    Syntax error, unexpected ',' on line 173                            
  182    Syntax error, unexpected ')' on line 182                            
  182    Syntax error, unexpected '[', expecting '(' on line 182             
  183    Syntax error, unexpected '[', expecting '(' on line 183             
  184    Syntax error, unexpected T_DOUBLE_ARROW, expecting ']' on line 184  
  187    Syntax error, unexpected ',' on line 187                            
 ------ -------------------------------------------------------------------- 

 ------ ----------------------------------------------------------------------- 
  Line   src/Form/NetauthSettingsForm.php                                       
 ------ ----------------------------------------------------------------------- 
  36     Syntax error, unexpected ',' on line 36                                
  36     Syntax error, unexpected T_CONSTANT_ENCAPSED_STRING, expecting '(' on  
         line 36                                                                
  40     Syntax error, unexpected '[', expecting '(' on line 40                 
  48     Syntax error, unexpected '[', expecting '(' on line 48                 
  53     Syntax error, unexpected '[', expecting '(' on line 53                 
  62     Syntax error, unexpected '[', expecting '(' on line 62                 
  71     Syntax error, unexpected '[', expecting '(' on line 71                 
  80     Syntax error, unexpected '[', expecting '(' on line 80                 
  86     Syntax error, unexpected '[', expecting '(' on line 86                 
  95     Syntax error, unexpected '[', expecting '(' on line 95                 
  104    Syntax error, unexpected '[', expecting '(' on line 104                
  110    Syntax error, unexpected '[', expecting '(' on line 110                
  120    Syntax error, unexpected '[', expecting '(' on line 120                
 ------ ----------------------------------------------------------------------- 

 [ERROR] Found 129 errors                                                        

 </code>
